Title,Artist,Language,Spotify URL,Genre,Movie/Band Name
Forever Between Us (you and me forever),Mohit Chauhan,Hindi,https://open.spotify.com/track/HI_ROM_900018,Romantic,Movie: Original Soundtrack
Perfect (I'm dancing in the dark),Ed Sheeran,English,https://open.spotify.com/track/EN_ROM_900042,Romantic,Album: ÷ (Divide)
Promise of Time (hold me close),Arijit Singh,Hindi,https://open.spotify.com/track/HI_ROM_900036,Romantic,Album: Bollywood Hits
Moonlight and You (in your eyes),Christina Perri,English,https://open.spotify.com/track/EN_ROM_900076,Romantic,Album: Various
Whispers Again (hold me close),Bruno Mars,English,https://open.spotify.com/track/EN_ROM_900053,Romantic,Album: Various
Heartbeat and You (endless love),Jeet Gannguli,Bengali,https://open.spotify.com/track/BE_ROM_900091,Romantic,Single
Forever Tonight (endless love),Coldplay,English,https://open.spotify.com/track/EN_ROM_900056,Romantic,Album: Singles
Sunrise Tonight (hold me close),Anupam Roy,Bengali,https://open.spotify.com/track/BE_ROM_900123,Romantic,Band: Various
Midnight Always (falling for you),Nachiketa,Bengali,https://open.spotify.com/track/BE_ROM_900093,Romantic,Album: Bengali Hits
Waves Tonight (my heart beats for you),Mohit Chauhan,Hindi,https://open.spotify.com/track/HI_ROM_900004,Romantic,Movie: Original Soundtrack
Moonlight Forever (in your eyes),Lata Mangeshkar,Hindi,https://open.spotify.com/track/HI_ROM_900027,Romantic,Album: Bollywood Hits
Waves Tonight (you and me forever),Arijit Singh,Bengali,https://open.spotify.com/track/BE_ROM_900116,Romantic,Album: Bengali Hits
Whispers of Love (you are my heart),John Legend,English,https://open.spotify.com/track/EN_ROM_900044,Romantic,Album: Various
Sunrise Always (you are my heart),Cactus,Bengali,https://open.spotify.com/track/BE_ROM_900096,Romantic,Single
Promise Between Us (hold me close),Atif Aslam,Hindi,https://open.spotify.com/track/HI_ROM_900019,Romantic,Album: Bollywood Hits
Thinking Out Loud (Take me into your loving arms),Ed Sheeran,English,https://open.spotify.com/track/EN_ROM_900077,Romantic,Album: x
Tum Se Hi (Tum se hi),Mohit Chauhan,Hindi,https://open.spotify.com/track/HI_ROM_900010,Romantic,Movie: Jab We Met
Midnight Without You (in your eyes),Hemanta Mukherjee,Bengali,https://open.spotify.com/track/BE_ROM_900101,Romantic,Band: Various
Heartbeat Always (you and me forever),KK,Hindi,https://open.spotify.com/track/HI_ROM_900011,Romantic,Album: Bollywood Hits
Ei Mon Tomake Dilam (Ei mon tomake dilam),Anupam Roy,Bengali,https://open.spotify.com/track/BE_ROM_900114,Romantic,Movie: Autograph
Thinking Out Loud (Take me into your loving arms),Ed Sheeran,English,https://open.spotify.com/track/EN_ROM_900047,Romantic,Album: x
Forever Between Us (you are my heart),Christina Perri,English,https://open.spotify.com/track/EN_ROM_900078,Romantic,Artist: Various
Tum Hi Ho (Tere liye),Arijit Singh,Hindi,https://open.spotify.com/track/HI_ROM_900000,Romantic,Movie: Aashiqui 2
Sunrise Always (you and me forever),Shreya Ghoshal,Hindi,https://open.spotify.com/track/HI_ROM_900026,Romantic,Movie: Original Soundtrack
Midnight Forever (in your eyes),Sunidhi Chauhan,Hindi,https://open.spotify.com/track/HI_ROM_900031,Romantic,Album: Bollywood Hits
A Thousand Years (I have died everyday),Christina Perri,English,https://open.spotify.com/track/EN_ROM_900067,Romantic,Album: A Thousand Years
Always and You (you are my heart),Atif Aslam,Hindi,https://open.spotify.com/track/HI_ROM_900012,Romantic,Movie: Various
Moonlight of Time (in your eyes),Shreya Ghoshal,Hindi,https://open.spotify.com/track/HI_ROM_900024,Romantic,Movie: Various
Heartbeat of Time (you and me forever),Ed Sheeran,English,https://open.spotify.com/track/EN_ROM_900045,Romantic,Album: Singles
Always in You (hold me close),Hemanta Mukherjee,Bengali,https://open.spotify.com/track/BE_ROM_900108,Romantic,Album: Bengali Hits
Tomake Chai (Tomake chai),Nachiketa,Bengali,https://open.spotify.com/track/BE_ROM_900089,Romantic,Album: Tomake Chai
Waves and You (my heart beats for you),Ed Sheeran,English,https://open.spotify.com/track/EN_ROM_900073,Romantic,Album: Various
Promise of Love (in your eyes),John Legend,English,https://open.spotify.com/track/EN_ROM_900064,Romantic,Album: Singles
Pehla Nasha (Pehla nasha),Udit Narayan,Hindi,https://open.spotify.com/track/HI_ROM_900015,Romantic,Movie: Jo Jeeta Wohi Sikandar
Forever of Time (my heart beats for you),Rupam Islam,Bengali,https://open.spotify.com/track/BE_ROM_900112,Romantic,Album: Bengali Hits
Waves Forever (my heart beats for you),Mohit Chauhan,Hindi,https://open.spotify.com/track/HI_ROM_900022,Romantic,Album: Bollywood Hits
Tum Se Hi (Tum se hi),Mohit Chauhan,Hindi,https://open.spotify.com/track/HI_ROM_900040,Romantic,Movie: Jab We Met
Midnight Tonight (in your eyes),Sam Smith,English,https://open.spotify.com/track/EN_ROM_900081,Romantic,Album: Various
Waves Tonight (falling for you),Nachiketa,Bengali,https://open.spotify.com/track/BE_ROM_900085,Romantic,Album: Bengali Hits
Tum Hi Ho (Tere liye),Arijit Singh,Hindi,https://open.spotify.com/track/HI_ROM_900030,Romantic,Movie: Aashiqui 2
Amaro Porano Jaha Chay (Amaro porano jaha chay),Rabindranath Tagore,Bengali,https://open.spotify.com/track/BE_ROM_900094,Romantic,Rabindra Sangeet
Moonlight Without You (endless love),The Weeknd,English,https://open.spotify.com/track/EN_ROM_900055,Romantic,Album: Various
Whispers Tonight (in your eyes),A.R. Rahman,Hindi,https://open.spotify.com/track/HI_ROM_900009,Romantic,Album: Bollywood Hits
Midnight Forever (you and me forever),Kishore Kumar,Hindi,https://open.spotify.com/track/HI_ROM_900033,Romantic,Album: Bollywood Hits
Perfect (I'm dancing in the dark),Ed Sheeran,English,https://open.spotify.com/track/EN_ROM_900062,Romantic,Album: ÷ (Divide)
Pehla Nasha (Pehla nasha),Udit Narayan,Hindi,https://open.spotify.com/track/HI_ROM_900025,Romantic,Movie: Jo Jeeta Wohi Sikandar
Tumi Jake Bhalobasho (Tumi jake bhalobasho),Anupam Roy,Bengali,https://open.spotify.com/track/BE_ROM_900119,Romantic,Movie: Piku
Whispers Forever (my heart beats for you),Arijit Singh,Hindi,https://open.spotify.com/track/HI_ROM_900028,Romantic,Album: Bollywood Hits
Echoes Tonight (hold me close),Imagine Dragons,English,https://open.spotify.com/track/EN_ROM_900066,Romantic,Artist: Various
Heartbeat Forever (endless love),Papon,Bengali,https://open.spotify.com/track/BE_ROM_900122,Romantic,Single
Dil Diyan Gallan (Dil diyan gallan),Atif Aslam,Hindi,https://open.spotify.com/track/HI_ROM_900005,Romantic,Movie: Tiger Zinda Hai
Waves Between Us (in your eyes),Sam Smith,English,https://open.spotify.com/track/EN_ROM_900065,Romantic,Album: Various
Heartbeat of Time (hold me close),Christina Perri,English,https://open.spotify.com/track/EN_ROM_900070,Romantic,Album: Singles
Always and You (you and me forever),Papon,Hindi,https://open.spotify.com/track/HI_ROM_900039,Romantic,Album: Bollywood Hits
Moonlight of Love (endless love),The Weeknd,English,https://open.spotify.com/track/EN_ROM_900049,Romantic,Album: Various
Pehla Nasha (Pehla nasha),Udit Narayan,Hindi,https://open.spotify.com/track/HI_ROM_900035,Romantic,Movie: Jo Jeeta Wohi Sikandar
Always in You (my heart beats for you),Papon,Hindi,https://open.spotify.com/track/HI_ROM_900016,Romantic,Movie: Original Soundtrack
Whispers of Love (falling for you),Bruno Mars,English,https://open.spotify.com/track/EN_ROM_900068,Romantic,Artist: Various
Forever of Time (endless love),Kishore Kumar,Hindi,https://open.spotify.com/track/HI_ROM_900034,Romantic,Movie: Original Soundtrack
Midnight Again (endless love),Nachiketa,Bengali,https://open.spotify.com/track/BE_ROM_900115,Romantic,Single
Always Between Us (hold me close),Sunidhi Chauhan,Hindi,https://open.spotify.com/track/HI_ROM_900007,Romantic,Movie: Various
Always and You (my heart beats for you),Fossils,Bengali,https://open.spotify.com/track/BE_ROM_900118,Romantic,Album: Bengali Hits
Promise Forever (you are my heart),Imagine Dragons,English,https://open.spotify.com/track/EN_ROM_900043,Romantic,Artist: Various
Heartbeat Between Us (endless love),Arijit Singh,Bengali,https://open.spotify.com/track/BE_ROM_900095,Romantic,Band: Various
Whispers Forever (you are my heart),Sam Smith,English,https://open.spotify.com/track/EN_ROM_900069,Romantic,Artist: Various
Echoes Tonight (in your eyes),Hemanta Mukherjee,Bengali,https://open.spotify.com/track/BE_ROM_900100,Romantic,Single
Heartbeat Again (in your eyes),Arijit Singh,Bengali,https://open.spotify.com/track/BE_ROM_900105,Romantic,Single
Heartbeat Between Us (you are my heart),Lata Mangeshkar,Hindi,https://open.spotify.com/track/HI_ROM_900008,Romantic,Movie: Various
Echoes Again (endless love),Atif Aslam,Hindi,https://open.spotify.com/track/HI_ROM_900013,Romantic,Movie: Various
Ei Mon Tomake Dilam (Ei mon tomake dilam),Anupam Roy,Bengali,https://open.spotify.com/track/BE_ROM_900109,Romantic,Movie: Autograph
Always Without You (you are my heart),Arijit Singh,Hindi,https://open.spotify.com/track/HI_ROM_900003,Romantic,Album: Bollywood Hits
Waves Without You (my heart beats for you),Sunidhi Chauhan,Hindi,https://open.spotify.com/track/HI_ROM_900017,Romantic,Movie: Various
Midnight and You (in your eyes),A.R. Rahman,Hindi,https://open.spotify.com/track/HI_ROM_900038,Romantic,Movie: Various
Make You Feel My Love (When the rain is blowing in your face),Adele,English,https://open.spotify.com/track/EN_ROM_900072,Romantic,Album: 19
